секция,типы преступлений,индикатор,общий индикатор,название объекта,object_level,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Алтайский край,регион,44940.0,42102.0,45024.0,44096.0,48582.0,44576.0,40055.0,38413.0,37058.0,39029.0,39070.0,39177.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Амурская область,регион,18091.0,17904.0,16909.0,17254.0,19475.0,18656.0,18505.0,17536.0,19508.0,18422.0,18231.0,16253.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Архангельская область,регион,24015.0,22365.0,20680.0,19068.0,22311.0,19994.0,19193.0,18962.0,19150.0,19074.0,16996.0,16786.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Астраханская область,регион,22687.0,20742.0,17295.0,15799.0,14774.0,13893.0,13432.0,13427.0,13110.0,14059.0,13801.0,13062.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Белгородская область,регион,15895.0,14888.0,14930.0,14296.0,15792.0,13715.0,12744.0,13163.0,14205.0,14341.0,14067.0,14588.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Брянская область,регион,19467.0,18733.0,19060.0,17100.0,17323.0,15821.0,14447.0,14287.0,14369.0,15178.0,14202.0,13549.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Владимирская область,регион,23831.0,21753.0,18640.0,18807.0,21348.0,19138.0,18257.0,17263.0,16787.0,17371.0,16248.0,16254.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Волгоградская область,регион,40017.0,39143.0,36507.0,36417.0,41696.0,38742.0,39881.0,38539.0,41122.0,38687.0,37910.0,36031.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Вологодская область,регион,25289.0,23826.0,24429.0,24460.0,29230.0,25724.0,20492.0,17866.0,17726.0,17314.0,17775.0,17411.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Воронежская область,регион,27027.0,27682.0,30437.0,33747.0,39298.0,34370.0,32571.0,29308.0,30808.0,29530.0,29552.0,30460.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Дальневосточный федеральный округ,федеральный округ,129346.0,128045.0,133578.0,130090.0,134418.0,122529.0,116225.0,155994.0,155092.0,150941.0,152252.0,145304.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Еврейская автономная область,регион,3719.0,3791.0,3198.0,3465.0,3624.0,3424.0,3612.0,3663.0,3555.0,3693.0,3323.0,3164.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Забайкальский край,регион,30485.0,31287.0,35001.0,32150.0,33373.0,29658.0,26992.0,24341.0,23573.0,22703.0,21707.0,20816.0
